[04:32:02] [main/INFO]: Setting user: BogdanG
[04:32:11] [Client thread/INFO]: LWJGL Version: 2.9.4
[04:33:09] [Client thread/INFO]: Reloading ResourceManager: Default, FMLFileResourcePack:Forge Mod Loader, FMLFileResourcePack:Minecraft Forge, FMLFileResourcePack:Not Enough Items, FMLFileResourcePack:Treecapitator, FMLFileResourcePack:Aether II, FMLFileResourcePack:AnimationAPI, FMLFileResourcePack:Antique Atlas, FMLFileResourcePack:AdventOfAscension, FMLFileResourcePack:Applied Energistics 2, FMLFileResourcePack:Backpack, FMLFileResourcePack:Better Foliage, FMLFileResourcePack:BiblioCraft, FMLFileResourcePack:BiblioWoods Forestry Edition, FMLFileResourcePack:Botany, FMLFileResourcePack:Binnie Core, FMLFileResourcePack:Extra Bees, FMLFileResourcePack:Extra Trees, FMLFileResourcePack:Genetics, FMLFileResourcePack:Biomes O' Plenty, FMLFileResourcePack:Blood Magic: Alchemical Wizardry, FMLFileResourcePack:Blue Power, FMLFileResourcePack:Botania, FMLFileResourcePack:BC Builders, FMLFileResourcePack:BC Energy, FMLFileResourcePack:BC Factory, FMLFileResourcePack:BC Silicon, FMLFileResourcePack:BuildCraft, FMLFileResourcePack:BC Transport, FMLFileResourcePack:Carpenter's Blocks, FMLFileResourcePack:ChickenChunks, FMLFileResourcePack:Chisel 2, FMLFileResourcePack:ComputerCraft, FMLFileResourcePack:Build Mod, FMLFileResourcePack:CoroPets, FMLFileResourcePack:CoroAI, FMLFileResourcePack:Extended Renderer, FMLFileResourcePack:Extended Mod Config, FMLFileResourcePack:CraftHeraldry, FMLFileResourcePack:DragonAPI, FMLFileResourcePack:DrZhark's Mo'Creatures Mod, FMLFileResourcePack:Enchanting Plus, FMLFileResourcePack:EvilCraft, FMLFileResourcePack:Extended Potions, FMLFileResourcePack:ExtrabiomesXL, FMLFileResourcePack:Extra Utilities, FMLFileResourcePack:Forestry for Minecraft, FMLFileResourcePack:GeoStrata, FMLFileResourcePack:Gilded Games Utility, FMLFileResourcePack:GraveStone, FMLFileResourcePack:GregTech, FMLFileResourcePack:Hardcore Darkness, FMLFileResourcePack:IndustrialCraft 2, FMLFileResourcePack:Inventory Tweaks, FMLFileResourcePack:Iron Chest, FMLFileResourcePack:Lycanites Mobs, FMLFileResourcePack:Lycanites Freshwater Mobs, FMLFileResourcePack:Lycanites Demon Mobs, FMLFileResourcePack:Lycanites Desert Mobs, FMLFileResourcePack:Lycanites Mountain Mobs, FMLFileResourcePack:Lycanites Jungle Mobs, FMLFileResourcePack:Lycanites Swamp Mobs, FMLFileResourcePack:Lycanites Shadow Mobs, FMLFileResourcePack:Lycanites Inferno Mobs, FMLFileResourcePack:Lycanites Saltwater Mobs, FMLFileResourcePack:Lycanites Forest Mobs, FMLFileResourcePack:Lycanites Plains Mobs, FMLFileResourcePack:Lycanites Arctic Mobs, FMLFileResourcePack:Magic Bees, FMLFileResourcePack:Magic Crusade, FMLFileResourcePack:Mantle, FMLFileResourcePack:§9MrCrayfish's Furniture Mod, FMLFileResourcePack:Mystcraft, FMLFileResourcePack:Natura, FMLFileResourcePack:Nature Overhaul, FMLFileResourcePack:NEI Addons, FMLFileResourcePack:NEI Addons: Applied Energistics 2, FMLFileResourcePack:NEI Addons: Botany, FMLFileResourcePack:NEI Addons: Forestry, FMLFileResourcePack:NEI Addons: Crafting Tables, FMLFileResourcePack:NEI Addons: Ex Nihilo, FMLFileResourcePack:NEI Integration, FMLFileResourcePack:NoMoreRecipeConflict, FMLFileResourcePack:Not Enough Resources, FMLFileResourcePack:Oceancraft, FMLFileResourcePack:Pam's Clay Spawn, FMLFileResourcePack:Pam's DesertCraft, FMLFileResourcePack:Pam's HarvestCraft, FMLFileResourcePack:Pam's Temperate Plants, FMLFileResourcePack:Pam's Weee! Flowers, FMLFileResourcePack:Power Converters, FMLFileResourcePack:Primitive Mobs, FMLFileResourcePack:QmunityLib, FMLFileResourcePack:Random Things, FMLFileResourcePack:Special AI, FMLFileResourcePack:Special Mobs, FMLFileResourcePack:Steve's Carts 2, FMLFileResourcePack:Tropicraft, FMLFileResourcePack:The Twilight Forest, FMLFileResourcePack:Underground Biomes Constructs, FMLFileResourcePack:vChat, FMLFileResourcePack:Waila, FMLFileResourcePack:What Are We Looking At, FMLFileResourcePack:weather2, FMLFileResourcePack:Witchery, FMLFileResourcePack:Ye Gamol Chattels, FMLFileResourcePack:Ztones, FMLFileResourcePack:bspkrsCore, FMLFileResourcePack:Baubles, FMLFileResourcePack:Forge Microblocks, FMLFileResourcePack:Forge Multipart, FMLFileResourcePack:Minecraft Multipart Plugin, ChromaHills-128x_1.7v11.zip
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\BloodMagic-1.7.10-1.3.3-4.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:33:09] [Client thread/WARN]: ResourcePack: ignored non-lowercase namespace: alchemicalwizardryBooks in D:\nmine\mods\magicbees-1.7.10-2.3.1.jar
[04:34:40] [Sound Library Loader/INFO]: Sound engine started
[04:34:40] [Client thread/WARN]: File nevermine:sounds/AuguryTransfer.ogg does not exist, cannot add it to event nevermine:AuguryTransfer
[04:53:09] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.say
[04:53:10] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:53:11] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.arisaur.death
[04:53:12] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:53:12] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowLiving
[04:53:14] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:ShadowHit
[04:53:16] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:53:18] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostLiving
[04:53:23] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.say
[04:53:23] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:forestmobs:entity.spriggan.death
[04:53:24] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GhostDeath
[04:53:31] [Server thread/INFO]: Saving and pausing game...
[04:53:31] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Overworld
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Nether
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/The Last Millenium
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Wyvern Lair
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Tropics
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/SpectreWorld
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeons
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Aether
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Mystic Groves
[04:53:32] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/CONTROL
[04:53:32] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 45865ms behind, skipping 917 tick(s)
[04:53:59] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2176ms behind, skipping 43 tick(s)
[04:54:01] [Server thread/INFO]: Saving and pausing game...
[04:54:01] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Overworld
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Nether
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/The Last Millenium
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Wyvern Lair
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Tropics
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/SpectreWorld
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeons
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Aether
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Mystic Groves
[04:54:02] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/CONTROL
[04:54:19] [Server thread/INFO]: Saving and pausing game...
[04:54:19] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Overworld
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Nether
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/The Last Millenium
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Wyvern Lair
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Tropics
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/SpectreWorld
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeons
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Aether
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Mystic Groves
[04:54:21] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/CONTROL
[04:54:21] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 4812ms behind, skipping 96 tick(s)
[04:54:34] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinLiving
[04:54:38] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 5863ms behind, skipping 117 tick(s)
[04:54:41] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinLiving
[04:54:44] [Server thread/INFO]: Saving and pausing game...
[04:54:44] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Overworld
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Nether
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/The Last Millenium
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Wyvern Lair
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Tropics
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeon
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/SpectreWorld
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Dungeons
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Aether
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/Mystic Groves
[04:54:45] [Server thread/INFO]: Saving chunks for level 'New World UGB 17'/CONTROL
[04:55:35] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 101.167623 ms
[04:55:35] [Client thread/WARN]: Something's taking too long! 'root' took aprox 114.370612 ms
[04:55:44] [Client thread/WARN]: Something's taking too long! 'root' took aprox 119.405325 ms
[04:55:44] [Client thread/WARN]: Something's taking too long! 'root' took aprox 155.475539 ms
[04:55:44] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 196.068538 ms
[04:55:44] [Client thread/WARN]: Something's taking too long! 'root' took aprox 216.695103 ms
[04:55:45] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 188.590773 ms
[04:55:45] [Client thread/WARN]: Something's taking too long! 'root' took aprox 210.374204 ms
[04:55:46] [Client thread/WARN]: Something's taking too long! 'root.render' took aprox 108.667968 ms
[04:55:46] [Client thread/WARN]: Something's taking too long! 'root' took aprox 155.849941 ms
[04:55:46] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinLiving
[04:55:47] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 114.431781 ms
[04:55:47] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 116.72581 ms
[04:55:47] [Client thread/WARN]: Something's taking too long! 'root' took aprox 134.447069 ms
[04:55:48] [Server thread/WARN]: Can't keep up! Did the system time change, or is the server overloaded? Running 2321ms behind, skipping 46 tick(s)
[04:55:48] [Client thread/WARN]: Something's taking too long! 'root.tick.level' took aprox 125.563655 ms
[04:55:48] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 129.407427 ms
[04:55:48] [Client thread/WARN]: Something's taking too long! 'root' took aprox 151.037321 ms
[04:55:49] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 111.174241 ms
[04:55:49] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 118.56087 ms
[04:55:49] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 120.546182 ms
[04:55:49] [Client thread/WARN]: Something's taking too long! 'root' took aprox 136.837983 ms
[04:55:50] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 115.405962 ms
[04:55:50] [Client thread/WARN]: Something's taking too long! 'root' took aprox 117.267296 ms
[04:55:51] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinLiving
[04:55:52] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.FRenderLast' took aprox 107.744691 ms
[04:55:52] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 129.994893 ms
[04:55:52] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 132.384165 ms
[04:55:52] [Client thread/WARN]: Something's taking too long! 'root' took aprox 150.736815 ms
[04:55:53] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 112.099161 ms
[04:55:53] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 119.731285 ms
[04:55:53] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 122.151758 ms
[04:55:53] [Client thread/WARN]: Something's taking too long! 'root' took aprox 122.975687 ms
[04:55:54] [Client thread/WARN]: Something's taking too long! 'root.render' took aprox 102.950956 ms
[04:55:54] [Client thread/WARN]: Something's taking too long! 'root' took aprox 135.890074 ms
[04:55:55] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 110.93162 ms
[04:55:55] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 119.70419 ms
[04:55:55] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 122.111525 ms
[04:55:55] [Client thread/WARN]: Something's taking too long! 'root' took aprox 122.815992 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 120.671804 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 132.036858 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 134.454457 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root' took aprox 151.57265 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 105.968337 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 108.396199 ms
[04:55:56] [Client thread/WARN]: Something's taking too long! 'root' took aprox 127.606441 ms
[04:55:57] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinLiving
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities.entities' took aprox 106.755319 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities' took aprox 112.171414 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 133.277475 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 135.688094 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root' took aprox 158.031486 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root' took aprox 110.46567 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 102.221448 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root' took aprox 146.789179 ms
[04:55:57] [Client thread/WARN]: Something's taking too long! 'root' took aprox 102.963272 ms
[04:55:58] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 113.424755 ms
[04:55:58] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 129.871324 ms
[04:55:58] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 132.649777 ms
[04:55:58] [Client thread/WARN]: Something's taking too long! 'root' took aprox 153.381847 ms
[04:55:59] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular' took aprox 107.598133 ms
[04:55:59] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities' took aprox 109.310444 ms
[04:55:59] [Client thread/WARN]: Something's taking too long! 'root.tick.level' took aprox 115.881764 ms
[04:55:59] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 122.614012 ms
[04:55:59] [Client thread/WARN]: Something's taking too long! 'root' took aprox 153.134298 ms
[04:56:00] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 117.880625 ms
[04:56:00] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 126.546869 ms
[04:56:00] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 128.847057 ms
[04:56:00] [Client thread/WARN]: Something's taking too long! 'root' took aprox 171.521433 ms
[04:56:01] [Client thread/WARN]: Unable to play unknown soundEvent: minecraft:nevermine:GoblinDeath
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular.tick.livingEntityBaseTick' took aprox 110.653281 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular.tick' took aprox 118.05551 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular' took aprox 127.574831 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities' took aprox 128.46814 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick.level' took aprox 129.275648 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 135.433157 ms
[04:56:01] [Client thread/WARN]: Something's taking too long! 'root' took aprox 165.680853 ms
[04:56:02] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 109.718099 ms
[04:56:02] [Client thread/WARN]: Something's taking too long! 'root' took aprox 159.621871 ms
[04:56:03] [Client thread/WARN]: Something's taking too long! 'root.render' took aprox 103.906255 ms
[04:56:03] [Client thread/WARN]: Something's taking too long! 'root' took aprox 138.542494 ms
[04:56:04] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 114.972856 ms
[04:56:04] [Client thread/WARN]: Something's taking too long! 'root' took aprox 143.672451 ms
[04:56:05] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities.entities' took aprox 101.316234 ms
[04:56:05] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities' took aprox 101.900005 ms
[04:56:06] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 120.872962 ms
[04:56:06] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 129.707113 ms
[04:56:06] [Client thread/WARN]: Something's taking too long! 'root' took aprox 149.390695 ms
[04:56:07] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.prepareterrain' took aprox 100.999307 ms
[04:56:07] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 125.204853 ms
[04:56:07] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 127.593715 ms
[04:56:07] [Client thread/WARN]: Something's taking too long! 'root' took aprox 141.535243 ms
[04:56:08] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 104.788479 ms
[04:56:08] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 114.251559 ms
[04:56:08] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 116.487294 ms
[04:56:08] [Client thread/WARN]: Something's taking too long! 'root' took aprox 134.465542 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 119.590063 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root' took aprox 145.004204 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 156.690702 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 165.001018 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 167.307774 ms
[04:56:09] [Client thread/WARN]: Something's taking too long! 'root' took aprox 192.193155 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root' took aprox 100.6208 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities.entities' took aprox 120.912373 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities' took aprox 132.408797 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 169.805837 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 173.253451 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root' took aprox 174.372549 ms
[04:56:10] [Client thread/WARN]: Something's taking too long! 'root' took aprox 104.883311 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.terrain.occ.bb' took aprox 104.052403 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.terrain.occ' took aprox 120.771562 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.terrain' took aprox 125.902751 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 144.303843 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 147.257592 ms
[04:56:11] [Client thread/WARN]: Something's taking too long! 'root' took aprox 165.462451 ms
[04:56:12] [Client thread/WARN]: Something's taking too long! 'root' took aprox 120.81631 ms
[04:56:13] [Client thread/WARN]: Something's taking too long! 'root.tick.level' took aprox 153.163035 ms
[04:56:13] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 157.707989 ms
[04:56:13] [Client thread/WARN]: Something's taking too long! 'root' took aprox 177.752015 ms
[04:56:14] [Client thread/WARN]: Something's taking too long! 'root' took aprox 116.621125 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 102.927967 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root' took aprox 126.041919 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.updatechunks' took aprox 109.037854 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 119.575695 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 122.242485 ms
[04:56:15] [Client thread/WARN]: Something's taking too long! 'root' took aprox 136.037043 ms
[04:56:16] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities.entities' took aprox 128.171738 ms
[04:56:16] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.entities' took aprox 128.95092 ms
[04:56:16] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 151.815273 ms
[04:56:16] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 154.113408 ms
[04:56:16] [Client thread/WARN]: Something's taking too long! 'root' took aprox 172.168835 ms
[04:56:17] [Client thread/WARN]: Something's taking too long! 'root' took aprox 109.375308 ms
[04:56:18] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 100.695927 ms
[04:56:18] [Client thread/WARN]: Something's taking too long! 'root' took aprox 146.19925 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular.tick' took aprox 100.194672 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities.regular' took aprox 105.969158 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root.tick.level.entities' took aprox 106.570992 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root.tick.level' took aprox 106.816488 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root.tick' took aprox 111.077767 ms
[04:56:19] [Client thread/WARN]: Something's taking too long! 'root' took aprox 142.630531 ms
[04:56:20] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level.FRenderLast' took aprox 101.753037 ms
[04:56:20] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer.level' took aprox 122.866897 ms
[04:56:20] [Client thread/WARN]: Something's taking too long! 'root.gameRenderer' took aprox 124.990147 ms
[04:56:20] [Client thread/WARN]: Something's taking too long! 'root' took aprox 141.614065 ms
[04:56:21] [Server thread/ERROR]: Encountered an unexpected exception
java.lang.RuntimeException: Biome [TaigaHills] threw an error while populating chunk.
	at com.xcompwiz.mystcraft.world.ChunkProviderMyst.func_73153_a(ChunkProviderMyst.java:156) ~[ChunkProviderMyst.class:?]
	at net.minecraft.world.gen.ChunkProviderServer.func_73153_a(ChunkProviderServer.java:279) ~[ms.class:?]
	at net.minecraft.world.chunk.Chunk.func_76624_a(Chunk.java:1055) ~[apx.class:?]
	at net.minecraft.world.gen.ChunkProviderServer.originalLoadChunk(ChunkProviderServer.java:190) ~[ms.class:?]
	at com.xcompwiz.mystcraft.world.WorldProviderMystDummy$ChunkProviderServerDummy.originalLoadChunk(WorldProviderMystDummy.java:60) ~[WorldProviderMystDummy$ChunkProviderServerDummy.class:?]
	at net.minecraft.world.gen.ChunkProviderServer.loadChunk(ChunkProviderServer.java:131) ~[ms.class:?]
	at net.minecraft.world.gen.ChunkProviderServer.func_73158_c(ChunkProviderServer.java:101) ~[ms.class:?]
